user,menu,rating
User4411,Food526,1
User6873,Food1046,5
User111,Food278,2
User5533,Food684,0
User6571,Food125,4
User991,Food727,0.5
User3015,Food1018,2
User9890,Food327,0
User2799,Food963,2
User4592,Food1102,4
User6765,Food101,0
User9961,Food778,0.5
User591,Food288,0.5
User2145,Food715,0
User6207,Food492,1.5
User8643,Food138,2.5
User7852,Food330,1.5
User314,Food150,4.5
User1205,Food606,2.5
User5179,Food501,2.5
User2155,Food275,5
User6489,Food1166,3.5
User7962,Food125,5
User2559,Food313,1
User4146,Food625,2.5
User854,Food822,4.5
User7402,Food273,2.5
User720,Food963,4.5
User1181,Food82,4.5
User341,Food1102,4
User9838,Food347,2.5
User8811,Food274,0
User6841,Food310,4.5
User8907,Food734,4.5
User9253,Food936,1.5
User4204,Food794,0
User5235,Food488,1
User636,Food1029,1.5
User9841,Food894,4.5
User6645,Food546,2.5
User5942,Food513,2
User1626,Food1070,4
User8623,Food795,5
User1697,Food1098,2.5
User9916,Food263,3
User4497,Food124,3
User5633,Food667,4
User1275,Food957,3.5
User601,Food6,1
User4143,Food1027,2.5
User3993,Food355,2
User211,Food1014,1
User1773,Food786,1.5
User6968,Food1113,3.5
User7468,Food46,0
User1322,Food612,4.5
User1831,Food360,3
User2054,Food597,2.5
User1429,Food309,4.5
User1418,Food176,3
User2020,Food37,1.5
User2911,Food329,3.5
User4538,Food459,1.5
User8204,Food391,1
User6895,Food928,2
User3430,Food212,3
User5940,Food1197,2.5
User225,Food937,1.5
User4954,Food922,0
User5551,Food758,0.5
User1360,Food779,5
User6167,Food233,1.5
User4454,Food731,5
User5617,Food526,1.5
User6392,Food359,0
User3868,Food435,1.5
User4180,Food812,4
User2941,Food114,4
User7968,Food1009,1.5
User3876,Food490,3
User6119,Food60,1
User2705,Food103,3
User7086,Food337,4.5
User4709,Food834,3.5
User7082,Food395,2
User2648,Food427,0.5
User1250,Food569,0
User3662,Food892,3
User2185,Food1000,5
User6141,Food523,1
User3226,Food815,0.5
User2676,Food777,4
User5766,Food937,1
User397,Food443,1.5
User3503,Food982,2
User9042,Food554,2
User8311,Food686,2.5
User8801,Food1089,0.5
User8001,Food958,0.5
User6642,Food1152,0
User3498,Food118,5
User1596,Food982,2.5
User8623,Food850,3
User3336,Food679,4
User7581,Food176,2.5
User9794,Food939,4.5
User4896,Food776,0
User4797,Food660,5
User2952,Food405,1.5
User230,Food715,3
User1039,Food460,2
User190,Food1020,4.5
User5539,Food1111,4
User214,Food533,3.5
User7348,Food469,1
User8935,Food835,2
User879,Food1027,0.5
User2049,Food272,2
User2890,Food56,0.5
User7949,Food1043,1
User1148,Food962,0
User8752,Food963,2.5
User3046,Food779,0
User2168,Food523,5
User6455,Food395,2
User1909,Food324,4
User6068,Food715,2
User6827,Food704,2
User7615,Food656,2
User4768,Food254,3
User8974,Food880,3
User3462,Food373,0.5
User3778,Food378,0.5
User1101,Food35,2
User9768,Food97,3
User7960,Food178,0.5
User6174,Food32,1
User4917,Food1004,2.5
